Player,Actual_Y,Linear_Regression,MLPRegressor,SVMR,DeepNN
337,77.18518519,72.57025146,72.73343447,74.2622478,72.56439972
338,82.05785124,82.88186646,80.94041537,83.73795735,85.08512878
339,78.03225806,79.03375244,78.40588563,79.64431476,78.62417603
340,92.30379747,93.18856812,92.17543115,89.92664191,93.18804169
341,68.58823529,72.66052246,73.14751145,75.24345695,73.09983063
342,63.6875,73.28442383,73.72837094,75.54517853,73.56270599
343,70,72.45837402,72.91200502,75.11567696,73.07306671
344,72.24528302,76.14208984,76.87689711,78.67988311,76.84304047
345,85.73809524,80.76193237,81.40344983,84.3049626,81.0424118
346,82.86206897,82.26004028,82.99466099,84.37899618,82.65052795
347,89.44827586,80.09042358,79.9434774,80.51641303,80.56616974
348,86.7755102,83.36987305,84.17363328,84.10391097,84.12425232
349,82.53012048,80.24627686,80.32001207,82.66092261,79.76583099
350,80.27184466,76.12493896,83.13913269,83.24631272,82.9733963
351,74.88235294,73.61984253,74.03487464,75.77542296,74.64192963
352,83.5443038,84.95495605,85.18065236,86.51016585,84.95006561
353,73,77.8934021,78.12579373,80.15617143,78.72988892
354,90.92307692,87.6270752,87.17032236,87.26920712,88.00925446
355,81.6,69.79934692,69.87631376,72.90984429,69.92740631
356,90.5,78.45068359,78.44980601,79.3793745,79.04040527
357,72.8125,76.80871582,77.3614111,79.69377907,76.15721893
358,37.8,67.15698242,64.57926847,72.18367132,67.31401825
359,91.05,78.83224487,78.84203246,79.34343707,79.49759674
360,92.85714286,77.22546387,77.0064613,78.16891349,77.37407684
361,80.68421053,81.58270264,81.38733269,83.17051655,81.20961761
362,72.71875,74.88021851,77.97435411,79.61150831,76.07338715
363,79.65517241,70.48483276,71.14335997,73.48832703,70.55478668
364,78.80519481,78.15457153,78.73699328,80.70325189,77.7151413
365,84.83870968,76.30178833,77.1464791,78.25913964,76.9970932
366,74.5,73.87619019,74.32042149,75.06565277,74.35381317
367,64.5,71.01895142,71.44948679,73.95795592,71.52841187
368,44.55555556,72.84695435,73.44954519,75.25639452,73.36113739
369,59.36842105,74.42745972,74.39669546,75.70898062,74.73668671
370,84,69.27618408,69.58736785,72.89647035,69.51462555
371,69.98,74.98516846,75.29019271,77.03025175,75.51649475
372,85.80412371,86.52227783,84.85487611,82.71969266,85.74543762
373,80.046875,77.61459351,77.09370048,80.58192668,77.29800415
